,Program_Description,Function_Description,Fund_Description,Location_Description,total_budget,total_fte,num_records
1217,Other,Other,GENERAL FUND                  ,RISK MANAGEMENT               ,592850.9765202,6.0,32
1218,Other,Other,GENERAL FUND                  ,STAFF DEV AND INSTR MEDIA     ,730979.4338491599,10.354393391912,497
1219,Other,Other,GENERAL FUND                  ,STUDENT SERVICES              ,3078978.8727885103,42.8268178329254,232
1220,Other,Other,GENERAL FUND                  ,SUPERINTENDENT                ,489781.34211878,4.25,36
1221,Other,Other,GENERAL FUND                  ,School ,206913048.99893034,3559.8269110344254,20730
1222,Other,Other,GENERAL FUND                  ,TECHNICAL CHARTER,4340254.21,0.0,14
1223,Other,Other,GENERAL FUND                  ,TRANSPORTATION                ,16239657.683697317,331.41694708248895,2914
1224,Other,Other,GENERAL FUND                  ,TRANSPORTATION-ADMINISTRATIVE ,308762.29758563003,7.753187199418,23
1225,Other,Other,GENERAL FUND                  ,VOCATIONAL EDUCATION          ,348704.141561637,5.11243958724317,55
1226,Other,Other,GENERAL FUND                  ,WELLNESS CENTER,598.07,0.0,5
1227,Other,Other,General,ACCOUNTING SERVICE OFFICE,430265.89777449996,6.0,6
1228,Other,Other,General,ADMIN OPERATIONS OFFICE,251912.37549200002,3.0,3
1229,Other,Other,General,ADMINISTRATIVE SECTION,157000.6871257,3.0,3
1230,Other,Other,General,BILINGUAL/MULTICULTURAL OF,517653.4356164,10.0,15
1231,Other,Other,General,BUDGET DIVISION,289834.71519869997,5.65,7
1232,Other,Other,General,BUILDING OPERATIONS SECTION,1101277.3581664,29.21,30
1233,Other,Other,General,CASHIER ACTIVITIES OFFICE,162153.4750573,2.0,2
1234,Other,Other,General,CERTIFICATED SUBST. OFFICE,138127.9786889,3.0,3
1235,Other,Other,General,CHIEF ACADEMIC OFFICER,3801489.782947,45.6897,47
1236,Other,Other,General,CHIEF OF STAFF,642864.6358052001,5.0,5
1237,Other,Other,General,CLASS SUBST EMPL (CLK&RTRS,233667.10214610002,6.0,6
1238,Other,Other,General,CLINIC SECTION,101689.324016,1.0,1
1239,Other,Other,General,COMMUNITY RELATIONS DIVISION,710343.9606981999,9.0,10
1240,Other,Other,General,COMPUTER SECTION,129127.4102141,2.0,2
1241,Other,Other,General,COO - SUPPORTIVE SERVICES,60311.80450040001,1.0,1
1242,Other,Other,General,COOP. BUS/LBR/UNIV/CULT OF,93987.4454831,1.0,1
1243,Other,Other,General,COUNSELING/CAREER GUID OFF,106759.896894,1.0,1
1244,Other,Other,General,DEVELOPMENTALLY HNDCPD OFF,437498.5622873,5.0,5
1245,Other,Other,General,EDUC SPECIAL TCHR II (SPEC ED TCHR),101689.574016,1.0,1
1246,Other,Other,General,EDUCATORS MID-CAREER CHANGE COHART ,104247.249089,1.0,1
1247,Other,Other,General,EN BRKFAST AIDS-LUNCH ATTN,191772.5524444,10.0,10
1248,Other,Other,General,EN CLASSIFIED SLRY/HRLY/DA,10103498.271795351,214.4,220
1249,Other,Other,General,EN CLEANERS,2717981.9241395,85.51,88
1250,Other,Other,General,EN CUSTODIAL,5044620.2982353,72.0,79
1251,Other,Other,General,EN OTH CERTIFICATED PERSON,118862236.86839451,1224.0,1314
1252,Other,Other,General,EN PRINCIPALS,8636110.0064161,70.5,72
1253,Other,Other,General,EN SECURITY,1700981.8575258,37.0,37
1254,Other,Other,General,ES CLASSIFIED SLRY/HRLY/DA,2067983.8901493999,43.0,43
1255,Other,Other,General,ES CLEANERS,490848.8650851,13.25,14
1256,Other,Other,General,ES CUSTODIAL,1373168.4908368,20.0,21
1257,Other,Other,General,ES OTH CERTIFICATED PERSON,23378346.9211207,225.6,250
1258,Other,Other,General,FACILITIES OFFICE,626800.6675344,9.94,10
1259,Other,Other,General,GENERAL EDUCATION DIVISION,457594.8515319,6.0,6
1260,Other,Other,General,HEALTH SERVICES OFFICE,2403638.3048067,23.6,24
1261,Other,Other,General,"HEALTH, FAMILY LIFE SECTIO",91463.4969505,2.0,2
1262,Other,Other,General,"HOUSING, EQUIP. & SUPPLIES",68891.87208350001,2.0,2
1263,Other,Other,General,HR DEPT - EMPLOYEE SERVICE CENTER,232585.2173984,3.0,3
1264,Other,Other,General,HR DEPT - RECORDS PROC. & RET.,503249.4595975,7.0,7
1265,Other,Other,General,HR DEPT - RECRUITMENT/STAFFING,576007.7996589,8.0,8
1266,Other,Other,General,HUMAN RESOURCES DEPARTMENT,422092.050252,5.0,5
1267,Other,Other,General,IN CLASSIFIED SLRY/HRLY/DA,10584902.0316479,232.0,236
1268,Other,Other,General,IN CLEANERS,1011353.6149759,30.009999999999998,31
1269,Other,Other,General,IN CUSTODIAL,1753230.0638854,26.0,28
1270,Other,Other,General,IN OTH CERTIFICATED PERSON,38500583.6713459,380.0,404
1271,Other,Other,General,IN PRINCIPALS,108299.00637899998,1.0,1
1272,Other,Other,General,IN SECURITY,2137268.6284342003,47.0,47
1273,Other,Other,General,INTERNAL AUDIT DIVISION,160544.93229700002,2.0,2
1274,Other,Other,General,INVENTORY & DISTRIBUTION,253261.0832306,4.0,4
1275,Other,Other,General,LAW DEPARTMENT,860048.8546770001,9.0,9
1276,Other,Other,General,MAINTENANCE OFFICE,1088127.9952409999,17.5,18
1277,Other,Other,General,MGMT. INFORMATION SERVICES,907112.1642917,15.0,15
1278,Other,Other,General,MULTIHANDICAPPED OFFICE,454867.9975616,5.0,5
1279,Other,Other,General,NON-PUBLIC SCHOOLS OFFICE,610481.1876436,6.0,6
1280,Other,Other,General,OFFICE OF INNOVATION,183650.44610709997,2.0,2
1281,Other,Other,General,OPERATIONS OFFICE,11299764.307959601,252.9689,283
1282,Other,Other,General,PAYROLL OFFICE,688964.2778561999,11.0,11
1283,Other,Other,General,PLANT MGMT AND OPERATIONS,90219.6192299,1.0,1
1284,Other,Other,General,PRESCHOOL OFFICE,102155.071286,1.0,1
1285,Other,Other,General,PSYCHOLOGICAL SERVICES OFF,7041763.8128402,74.6,79
1286,Other,Other,General,PUBLIC RELATIONS INFO CENT,53918.4698846,1.0,1
1287,Other,Other,General,PUPIL ADJUSTMENT OFFICE,956966.1843939,17.0,17
1288,Other,Other,General,PURCHASING DIVISION,334540.3773841,5.0,5
1289,Other,Other,General,"RESEARCH, EVALUATION & ASSESSMENT",638024.4922051,8.0,8
1290,Other,Other,General,RESIDENTIAL SITE TEACHERS,984718.2944871,10.0,10
1291,Other,Other,General,SAFETY AND SECURITY,54252.87328890001,1.0,1
1292,Other,Other,General,SAFETY AND SECURITY DIVISION,3866117.2572077,67.0,67
1293,Other,Other,General,SCHOOL IMPROVEMENT CENTER,513802.19702870003,5.0,5
1294,Other,Other,General,SEVERE BEHAVIOR HNDCPD OFF,104927.918104,1.0,1
1295,Other,Other,General,SPECIAL EDUCATION DIVISION,652838.4837601,8.0,8
1296,Other,Other,General,SPEECH AND LANGUAGE SVC OF,4847025.8533502,51.5,53
1297,Other,Other,General,SR CLASSIFIED SLRY/HRLY/DA,6493489.99098536,131.28,137
1298,Other,Other,General,SR CLEANERS,492394.3265921,15.879999999999999,16
1299,Other,Other,General,SR CUSTODIAL,997039.2362495001,14.0,17
1300,Other,Other,General,SR OTH CERTIFICATED PERSON,58111287.0215157,591.9,600
1301,Other,Other,General,SR PRINCIPALS,4653676.2074431,36.5,39
1302,Other,Other,General,"SR REGION, ADMIN OFFICE",101689.134016,1.0,1
1303,Other,Other,General,SR SECURITY,2455296.774795,54.0,54
1304,Other,Other,General,STDNT ASSIGN/ATTENDANCE/RE,158327.93796540002,3.0,3
1305,Other,Other,General,STUDENT ADMINISTRATIVE SERVICES,181014.9694904,3.0,3
1306,Other,Other,General,STUDENT INFOR SYSTEMS OFFI,194598.99811669998,3.0,3
1307,Other,Other,General,SUPERINTENDENT'S DEPARTMENT,3615979.6145553,26.5,27
1308,Other,Other,General,SYSTEMS ANALYSIS SECTION,73475.09689829999,0.8899999999999999,2
1309,Other,Other,General,TECHNICAL SUPPORT OFFICE,291466.157567,3.0,3
1310,Other,Other,General,TRADES AND MAINTENANCE OFF,3232878.3167385,36.0,36
1311,Other,Other,General,TRANSPORTATION DIVISION,185679.5883775,3.685,4
1312,Other,Other,General,TREASURY DEPARTMENT,557905.8166941,5.0,5
1313,Other,Other,General,VISUAL/ORTHO/HEAR HANDICAPPED,105902.6808309,1.3,2
1314,Other,Other,General,VOCATIONAL/CAREER EDUCAT O,63446.8761436,1.0,1
1315,Other,Other,General,WORK STUDY OFFICE,320907.457197,3.0,3
1316,Other,Other,General,,272798051.7178708,187.5,3610
1317,Other,Other,General Fund,ABD,85568.114233,2.0,2
1318,Other,Other,General Fund,ADMIN. SERVICES,62078408.7227424,487.72,4722
1319,Other,Other,General Fund,Assoc Superintendent-Area ,187634.83495569997,2.0,2
1320,Other,Other,General Fund,Assoc Superintendent-Area  Elementary ,99703.2168829,1.0,1
1321,Other,Other,General Fund,Assoc. Superintendent - Middle,113377.278635,1.0,1
1322,Other,Other,General Fund,Budget,65749.2465861,1.0,1
1323,Other,Other,General Fund,Central Warehouse,32906.5,1.0,1
1324,Other,Other,General Fund,Chief Academic Officer,130594.293424,1.0,1
1325,Other,Other,General Fund,Chief Operations Officer,54124.021848,1.0,1
1326,Other,Other,General Fund,Chief School Office,110733.355984,1.0,1
1327,Other,Other,General Fund,Community Ed (External),44555.55863490001,1.0,1
1328,Other,Other,General Fund,Consolidated School Nutrition,17061.94,1.0,1
1329,Other,Other,General Fund,Construction Management,84686.18,1.0,1
1330,Other,Other,General Fund,Contract and Procurement Svcs,97740.9233447,1.0,1
1331,Other,Other,General Fund,County Detention Center,31265.525759,1.0,1
1332,Other,Other,General Fund,Curriculum,201075.3812662,3.0,3
1333,Other,Other,General Fund,Curriculum and Instruction ,76902.1489717,1.0,1
1334,Other,Other,General Fund,District Police,208179.62851850002,4.0,4
1335,Other,Other,General Fund,Early Childhood Center,123976.96379000002,2.0,5
1336,Other,Other,General Fund,Elementary (Pre-K),5145.65637091,0.0,2
1337,Other,Other,General Fund,Food Service,1365532.54013,120.1,1
1338,Other,Other,General Fund,Health Services,46751.27730319999,1.0,1
1339,Other,Other,General Fund,Homebound,55693.15474380001,1.0,1
1340,Other,Other,General Fund,Independence,144389.2972568,2.0,4
1341,Other,Other,General Fund,Information System Administration,84864.54706170001,1.0,1
1342,Other,Other,General Fund,Learning Support Services,101221.51821870002,2.0,2
1343,Other,Other,General Fund,Legal Services,90999.17,0.0,1
1344,Other,Other,General Fund,Library Media Center,37855.0738559,1.0,1
1345,Other,Other,General Fund,Maintenance,7882159.7819347,116.0,116
1346,Other,Other,General Fund,Management Info System,84864.4170617,1.0,1
1347,Other,Other,General Fund,Math,120671.53874039999,2.0,2
1348,Other,Other,General Fund,NORTH METRO,1748848.79918031,33.0,37
1349,Other,Other,General Fund,Network Support,169729.2741234,2.0,2
1350,Other,Other,General Fund,Office of Planning and Community Relations,336632.2065658,5.0,5
1351,Other,Other,General Fund,PK Center,55692.41474380001,1.0,1
1352,Other,Other,General Fund,PROF. LEARNING,207785.16999999998,0.0,124
1353,Other,Other,General Fund,Pre-K Center,69117.29436680001,1.0,6
1354,Other,Other,General Fund,Prekindergarten Demonstration School,20032.463948700002,0.0,4
1355,Other,Other,General Fund,SOUTH METRO,434772.3934873,8.700000000000001,18
1356,Other,Other,General Fund,School ,3317446.5155664636,67.5,78
1357,Other,Other,General Fund,School to Work,84691.94966039999,0.0,5
1358,Other,Other,General Fund,Secondary Alternative Learning Center,253705.03598673412,4.0,9
1359,Other,Other,General Fund,Service Center Bldg & Grounds,308732.3135931,7.0,7
1360,Other,Other,General Fund,Service Center Housekeeping,22984.33,1.0,1
1361,Other,Other,General Fund,Social Emotional Learning,65286.9859997,1.0,1
1362,Other,Other,General Fund,Special Education,511652.8932482,7.0,7
1363,Other,Other,General Fund,State Deaf,37492.9033486,1.0,1
1364,Other,Other,General Fund,State/Federal Compliance & Accountability,46749.67730319999,1.0,1
1365,Other,Other,General Fund,Transportation,29043382.4218813,892.0,892
1366,Other,Other,General Fund,Transportation Office,2743241.45474,88.14,1
1367,Other,Other,General Fund,,589903962.0606345,8531.75,13455
1368,Other,Other,General Operating Fund,School ,3628451.439125795,23.35,794
1369,Other,Other,General Operating Fund,Summer School,8645.693307195299,0.0,12
1370,Other,Other,General Operating Fund,Unallocated,962941.7356270255,0.0,836
1371,Other,Other,General Operating Fund,Undistributed,401653.76999999996,0.0,15
1372,Other,Other,General Purpose School,Central Office,13580107.050431648,186.2140801794535,403
1373,Other,Other,General Purpose School,District Wide Resources,66573134.31357127,467.90941908417363,2486
1374,Other,Other,General Purpose School,,301071061.2541706,5595.749173946513,18508
1375,Other,Other,"High School Allotment,  (Effective ",Independence,2516.0,0.0,1
1376,Other,Other,IDEA Preschool Grant for the Handicapped,CHIEF ACADEMIC OFFICER,134875.13090440002,2.0,2
1377,Other,Other,IDEA Preschool Grant for the Handicapped,COO - SUPPORTIVE SERVICES,49592.38329309999,1.0,1
1378,Other,Other,IDEA Preschool Grant for the Handicapped,,133384.2392056,1.0,20
1379,Other,Other,"IDEA, Part B Special Education, Education of Handicapped Children",CERT STAFF ON LEAVE OFFICE,42000.07,0.6,1
1380,Other,Other,"IDEA, Part B Special Education, Education of Handicapped Children",CERTIFICATED SUBST. OFFICE,-0.25,0.6,1
1381,Other,Other,"IDEA, Part B Special Education, Education of Handicapped Children",CHIEF ACADEMIC OFFICER,1593452.7442711,21.0,21
1382,Other,Other,"IDEA, Part B Special Education, Education of Handicapped Children",DEVELOPMENTALLY HNDCPD OFF,80386.87453280001,1.0,1
1383,Other,Other,"IDEA, Part B Special Education, Education of Handicapped Children",EDUCATORS MID-CAREER CHANGE COHART ,101127.178722,1.0,1
1384,Other,Other,"IDEA, Part B Special Education, Education of Handicapped Children",EN CLASSIFIED SLRY/HRLY/DA,2059655.5149395,45.0,45
1385,Other,Other,"IDEA, Part B Special Education, Education of Handicapped Children",EN OTH CERTIFICATED PERSON,2013693.1052569,21.0,22
1386,Other,Other,"IDEA, Part B Special Education, Education of Handicapped Children",ES CLASSIFIED SLRY/HRLY/DA,321260.6361771,7.0,7
1387,Other,Other,"IDEA, Part B Special Education, Education of Handicapped Children",ES OTH CERTIFICATED PERSON,96392.9865435,1.0,1
1388,Other,Other,"IDEA, Part B Special Education, Education of Handicapped Children",GENERAL EDUCATION DIVISION,51816.21075090001,1.0,1
1389,Other,Other,"IDEA, Part B Special Education, Education of Handicapped Children",IN CLASSIFIED SLRY/HRLY/DA,1577288.9855789,36.0,36
1390,Other,Other,"IDEA, Part B Special Education, Education of Handicapped Children",IN OTH CERTIFICATED PERSON,845509.7694122,9.0,9
1391,Other,Other,"IDEA, Part B Special Education, Education of Handicapped Children",NON-PUBLIC SCHOOLS OFFICE,64481.54,3.4000000000000004,7
1392,Other,Other,"IDEA, Part B Special Education, Education of Handicapped Children",PSYCHOLOGICAL SERVICES OFF,106973.4760435,2.0,2
1393,Other,Other,"IDEA, Part B Special Education, Education of Handicapped Children",RESIDENTIAL SCHOOLS OFFICE,92077.4273472,1.0,1
1394,Other,Other,"IDEA, Part B Special Education, Education of Handicapped Children",SPECIAL EDUCATION DIVISION,491607.6555126,9.15,10
1395,Other,Other,"IDEA, Part B Special Education, Education of Handicapped Children",SPEECH AND LANGUAGE SVC OF,129403.1102047,1.7,2
1396,Other,Other,"IDEA, Part B Special Education, Education of Handicapped Children",SR CLASSIFIED SLRY/HRLY/DA,951613.1703498999,20.0,20
1397,Other,Other,"IDEA, Part B Special Education, Education of Handicapped Children",SR OTH CERTIFICATED PERSON,250615.59939,2.6,3
1398,Other,Other,"IDEA, Part B Special Education, Education of Handicapped Children",VISUAL/ORTHO/HEAR HANDICAPPED,58141.3949977,0.7,1
1399,Other,Other,"IDEA, Part B Special Education, Education of Handicapped Children",WORK STUDY OFFICE,0.67,1.0,1
1400,Other,Other,"IDEA, Part B Special Education, Education of Handicapped Children",,2872438.3651766,10.0,220
1401,Other,Other,IDEA-B Formula,,-405949.51,0.0,2
1402,Other,Other,IDEA-B Preschool,,886873.66,0.0,2
1403,Other,Other,IDEA-B-Deaf,,39619.33,0.0,2
1404,Other,Other,IDEA-B-Discretionary,,38692.07,0.0,1
1405,Other,Other,IDEA-B-Preshool-Deaf,,7407.61,0.0,2
1406,Other,Other,IDEA-C-Early Intervention Deaf,,3519.16,0.0,1
1407,Other,Other,IMPACT FEES                   ,DISTRICT-WIDE PROGRAMS        ,9673447.7,0.0,1
1408,Other,Other,INTRADISTRICT FUNDS,ADVANCED PROGRAMS,21199.52,0.0,2
1409,Other,Other,INTRADISTRICT FUNDS,DIFFERENTIATED INSTRUCTION,442851.69,0.0,1
1410,Other,Other,INTRADISTRICT FUNDS,EARLY STAGES,388272.82,0.0,12
1411,Other,Other,INTRADISTRICT FUNDS,"EXTENDED DAY PROG, SUMMER SCHOOL SATURDA",1255280.76,0.0,1
1412,Other,Other,INTRADISTRICT FUNDS,"FIXED COSTS (RENT, WATER, UTILITIES)",975499.9899999999,0.0,4
1413,Other,Other,INTRADISTRICT FUNDS,FOOD SERVICES DIVISION,30549999.64,0.0,8
1414,Other,Other,INTRADISTRICT FUNDS,HUMAN CAPITAL,0.15,0.0,3
1415,Other,Other,INTRADISTRICT FUNDS,INCLUSIVE ACADEMIC PROGRAMS,260181.43,0.0,2
1416,Other,Other,INTRADISTRICT FUNDS,NON - PUBLIC PLACEMENT,3700000.92,0.0,1
1417,Other,Other,INTRADISTRICT FUNDS,OFFICE OF BILINGUAL EDUCATION,550161.85,0.0,6
1418,Other,Other,INTRADISTRICT FUNDS,OFFICE OF CAREER AND TECHNICAL EDUCATION,1786742.97,0.0,8
1419,Other,Other,INTRADISTRICT FUNDS,OFFICE OF COMMUNITY & EDUCATION PROGRAMS,225280.99,0.0,6
1420,Other,Other,INTRADISTRICT FUNDS,OFFICE OF FEDERAL PROGRAM & GRANTS,4341210.16,0.0,20
1421,Other,Other,INTRADISTRICT FUNDS,OFFICE OF HUMAN RESOURCES,1450000.57,0.0,4
1422,Other,Other,INTRADISTRICT FUNDS,OFFICE OF SCHOOL INNOVATION,3164119.6599999997,0.0,27
1423,Other,Other,INTRADISTRICT FUNDS,OFFICE OF STANDARDS AND CURRICULUM,0.0,0.0,1
1424,Other,Other,INTRADISTRICT FUNDS,OFFICE OF THE CHIEF ACADEMIC OFFICER,1200000.26,0.0,1
1425,Other,Other,INTRADISTRICT FUNDS,OFFICE OF YOUTH ENGAGEMENT,315654.77,0.0,7
1426,Other,Other,INTRADISTRICT FUNDS,OSE RESOLUTION,3397940.1100000003,0.0,2
1427,Other,Other,INTRADISTRICT FUNDS,PRIVATE SCHOOLS,2819550.34,0.0,3
1428,Other,Other,INTRADISTRICT FUNDS,PROFESSIONAL DEVELOPMENT,1086527.5699999998,0.0,6
1429,Other,Other,INTRADISTRICT FUNDS,RELATED SERVICES,3627140.0,0.0,4
1430,Other,Other,INTRADISTRICT FUNDS,SCHOOL IMPROVEMENT-SECTION ,1799595.44,0.0,18
1431,Other,Other,INTRADISTRICT FUNDS,SCHOOL OPERATIONS,987930.74,0.0,1
1432,Other,Other,INTRADISTRICT FUNDS,SCHOOL PERFORMANCE/RESTRUCTURING,1280879.19,0.0,5
1433,Other,Other,INTRADISTRICT FUNDS,SCHOOL SUPPORT,561226.95,0.0,1
1434,Other,Other,INTRADISTRICT FUNDS,SPECIAL EDUCATION - LEA,1298060.79,0.0,3
1435,Other,Other,INTRADISTRICT FUNDS,SUMMER SCHOOL PROGRAM,2680076.78,0.0,4
1436,Other,Other,INTRADISTRICT FUNDS,TRANSFORMATION MANAGEMENT OFFICE,3485695.99,0.0,1
1437,Other,Other,INTRADISTRICT FUNDS,,724282.3200000001,0.0,128
1438,Other,Other,ITEMFA Schools Partnership,Central Office,102501.23,1.0,2
1439,Other,Other,ITEMFA Schools Partnership,District Wide Resources,1426166.6179,6.0,141
1440,Other,Other,ITEMFA Schools Partnership,,4460263.448135106,89.39547386403227,1092
1441,Other,Other,Improving Teacher Quality,EN OTH CERTIFICATED PERSON,3906160.1947215,38.0,38
1442,Other,Other,Improving Teacher Quality,ES OTH CERTIFICATED PERSON,1330275.2920204,14.0,14
1443,Other,Other,Improving Teacher Quality,HR DEPT - RECRUITMENT/STAFFING,60240.93191569999,1.0,1
1444,Other,Other,Improving Teacher Quality,IN OTH CERTIFICATED PERSON,822724.656832,8.0,8
1445,Other,Other,Improving Teacher Quality,,464743.5834810002,5.0,83
1446,Other,Other,Key Gov't Finance-CISCO VOIP  ,EXEC DIR INFO/INSTRUC TECH SER,999489.72,0.0,2
1447,Other,Other,LOCAL AND PRIVATE GRANT       ,DISTRICT-WIDE PROGRAMS        ,7518.490000000002,0.0,1
1448,Other,Other,LOCAL FUND,"ACCOUNTABILITY, TESTING, RESEARCH & EVAL",3839620.44,0.0,2
1449,Other,Other,LOCAL FUND,ADVANCED PROGRAMS,1137769.67,0.0,5
1450,Other,Other,LOCAL FUND,ARTS CENTER,251.35,0.0,2
1451,Other,Other,LOCAL FUND,ATHLETICS,1618672.72,0.0,5
1452,Other,Other,LOCAL FUND,ATTORNEY FEES,0.0,0.0,1
1453,Other,Other,LOCAL FUND,CENTRAL ADMINISTRATION SCHOOL - SHS,39962.98,0.0,3
1454,Other,Other,LOCAL FUND,CENTRAL OFFICE SUPPORT,2500.94,0.0,2
1455,Other,Other,LOCAL FUND,CHIEF OF DATA AND ACCOUNTABILITY,2385.97,0.0,1
1456,Other,Other,LOCAL FUND,CHIEF OF TEACHING & LEARNING,132797.12,0.0,4
1457,Other,Other,LOCAL FUND,CHIEF OPERATING OFFICER,117959.32999999999,0.0,2
1458,Other,Other,LOCAL FUND,COMPLIANCE DIVISION,10425.019999999999,0.0,3
1459,Other,Other,LOCAL FUND,DIFFERENTIATED INSTRUCTION,425924.61,0.0,1
1460,Other,Other,LOCAL FUND,EARLY STAGES,166194.74,0.0,10
1461,Other,Other,LOCAL FUND,FAMILY & COMMUNITY ENGAGEMENT,29791.57,0.0,2
1462,Other,Other,LOCAL FUND,"FIXED COSTS (RENT, WATER, UTILITIES)",40440526.79,0.0,11
1463,Other,Other,LOCAL FUND,FOOD SERVICES DIVISION,500422.92000000004,0.0,6
1464,Other,Other,LOCAL FUND,GIFTED AND TALENTED,15001.45,0.0,3
1465,Other,Other,LOCAL FUND,HUMAN CAPITAL,64920.880000000005,0.0,4
1466,Other,Other,LOCAL FUND,INCLUSIVE ACADEMIC PROGRAMS,733602.4100000001,0.0,3
1467,Other,Other,LOCAL FUND,INSTRUCTIONAL SUPERINTENDENT CLUSTER VI,-0.7,0.0,1
1468,Other,Other,LOCAL FUND,INSTRUCTIONAL SUPERINTENDENTS,155598.48,0.0,5
1469,Other,Other,LOCAL FUND,LOGISTICS,3449921.9699999997,0.0,9
1470,Other,Other,LOCAL FUND,LONG TERM SUBSTITUTES,1737452.0999999999,0.0,3
1471,Other,Other,LOCAL FUND,NON - PUBLIC PLACEMENT,52498.67999999999,0.0,2
1472,Other,Other,LOCAL FUND,OFFICE OF BILINGUAL EDUCATION,18739.96,0.0,2
1473,Other,Other,LOCAL FUND,OFFICE OF COMMUNICATIONS & PUBLIC INFO,304751.01,0.0,4
1474,Other,Other,LOCAL FUND,OFFICE OF HUMAN RESOURCES,934170.59,0.0,8
1475,Other,Other,LOCAL FUND,OFFICE OF INFORMATION TECHNOLOGY,3093873.93,0.0,5
1476,Other,Other,LOCAL FUND,OFFICE OF STANDARDS AND CURRICULUM,2942183.52,0.0,4
1477,Other,Other,LOCAL FUND,OFFICE OF THE CHANCELLOR,9133.24,0.0,1
1478,Other,Other,LOCAL FUND,OFFICE OF THE CHIEF ACADEMIC OFFICER,999.11,0.0,2
1479,Other,Other,LOCAL FUND,OFFICE OF THE CHIEF FINANCIAL OFFICER,579247.24,0.0,7
1480,Other,Other,LOCAL FUND,OFFICE OF THE CHIEF OF STAFF,160849.00999999998,0.0,5
1481,Other,Other,LOCAL FUND,OFFICE OF YOUTH ENGAGEMENT,217195.79,0.0,27
1482,Other,Other,LOCAL FUND,OSE EXTENDED SCHOOL YEAR,384401.29000000004,0.0,2
1483,Other,Other,LOCAL FUND,OSE RESOLUTION,1101517.8600000003,0.0,4
1484,Other,Other,LOCAL FUND,OTHER EXTRA DUTY PAY,535886.95,0.0,2
1485,Other,Other,LOCAL FUND,PARENT RESOURCE CENTER,131402.28,0.0,4
1486,Other,Other,LOCAL FUND,PARTNERSHIPS,10472.130000000001,0.0,3
1487,Other,Other,LOCAL FUND,PROCUREMENT DIVISION,280297.5,0.0,4
1488,Other,Other,LOCAL FUND,RELATED SERVICES,6877623.95,0.0,11
1489,Other,Other,LOCAL FUND,SCHOOL OPERATIONS,899116.77,0.0,4
1490,Other,Other,LOCAL FUND,SCHOOL SUPPORT,17500.52,0.0,3
1491,Other,Other,LOCAL FUND,SECURITY,13217500.110000001,0.0,4
1492,Other,Other,LOCAL FUND,SETTLEMENTS AND JUDGMENTS,199999.94,0.0,1
1493,Other,Other,LOCAL FUND,SPECIAL EDUCATION - LEA,3367510.42,0.0,7
1494,Other,Other,LOCAL FUND,STUDENT DATA SYSTEMS,773252.13,0.0,2
1495,Other,Other,LOCAL FUND,TEACHER EFFECTIVENESS DIVISION,519810.06,0.0,1
1496,Other,Other,LOCAL FUND,TEXTBOOKS,2526101.7,0.0,3
1497,Other,Other,LOCAL FUND,,23458576.119999,0.0,2079
1498,Other,Other,Liability Self-Insurance,,800002.41,0.0,2
1499,Other,Other,Locally Funded Special Revenue Funds,School ,15337.95,0.0,5
1500,Other,Other,MILLAGE                  ,DISTRICT-WIDE PROGRAMS        ,12016409.3,0.0,4
1501,Other,Other,MILLAGE                  ,EXEC DIR INFO/INSTRUC TECH SER,999489.09,0.0,1
1502,Other,Other,Management Information System,,89012.42000000001,0.0,22
1503,Other,Other,Miscellaneous Federal Grants,SR PRINCIPALS,120105.406447,1.0,1
1504,Other,Other,Miscellaneous Federal Grants,,689939.2045920005,0.0,1335
1505,Other,Other,Miscellaneous State Grants,SR CLASSIFIED SLRY/HRLY/DA,89484.0115415,2.0,2
1506,Other,Other,Miscellaneous State Grants,,834944.2500000001,0.0,972
1507,Other,Other,Other Grants,EN CLASSIFIED SLRY/HRLY/DA,31956.29,1.0,1
1508,Other,Other,Other Grants,EN OTH CERTIFICATED PERSON,49255.34,1.0,1
1509,Other,Other,Other Grants,EN PRINCIPALS,93999.19,1.0,1
1510,Other,Other,Other Grants,EN SECURITY,54262.78999999999,2.0,2
1511,Other,Other,Other Grants,IN CLASSIFIED SLRY/HRLY/DA,28614.4,1.0,1
1512,Other,Other,Other Grants,IN OTH CERTIFICATED PERSON,149944.24,2.0,2
1513,Other,Other,Other Grants,IN SECURITY,27233.15,1.0,1
1514,Other,Other,Other Grants,INTERNAL AUDIT DIVISION,75854.43000000001,1.0,1
1515,Other,Other,Other Grants,PSYCHOLOGICAL SERVICES OFF,77477.54000000001,1.0,1
1516,Other,Other,Other Grants,"RESEARCH, EVALUATION & ASSESSMENT",45910.87,1.0,1
1517,Other,Other,Other Grants,SR OTH CERTIFICATED PERSON,1001759.71,16.0,16
1518,Other,Other,Other Grants,,71484.30453210002,1.0,2
1519,Other,Other,PRIVATE DONATIONS,,14959.119999999999,0.0,7
1520,Other,Other,PRIVATE GRANT FUND,"ACCOUNTABILITY, TESTING, RESEARCH & EVAL",81702.58,0.0,1
1521,Other,Other,PRIVATE GRANT FUND,CENTRAL ADMINISTRATION SCHOOL - ELEM,633546.97,0.0,1
1522,Other,Other,PRIVATE GRANT FUND,EARLY CHILDHOOD ED AND HEAD START,1.5,0.0,3
1523,Other,Other,Permanent Improvement,BUILDING OPERATIONS SECTION,47408.99000000001,1.0,1
